"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Gholap A.D.; Omri A.","Gholap, Amol D. (58159945700); Omri, Abdelwahab (35492680500)","58159945700; 35492680500","Advances in artificial intelligence-envisioned technologies for protein and nucleic acid research","2025","Drug Discovery Today","30","5","104362","","","","7","10.1016/j.drudis.2025.104362","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003412700&doi=10.1016%2fj.drudis.2025.104362&partnerID=40&md5=a0d6c38efb40ccef6ec453f8cb84c020","Artificial intelligence (AI) and machine learning (ML) have revolutionized pharmaceutical research, particularly in protein and nucleic acid studies. This review summarizes the current status of AI and ML applications in the pharmaceutical sector, focusing on innovative tools, web servers, and databases. This paper highlights how these technologies address key challenges in drug development including high costs, lengthy timelines, and the complexity of biological systems. Furthermore, the potential of AI in personalized medicine, cancer drug response prediction, and biomarker identification is discussed. The integration of AI and ML in pharmaceutical research promises to accelerate drug discovery, reduce development costs, and ultimately lead to more effective and personalized therapeutic strategies. © 2025 The Author(s)","algorithms; artificial intelligence; machine learning; peptide; personalized medicine; protein; tools","Animals; Artificial Intelligence; Drug Development; Drug Discovery; Humans; Machine Learning; Nucleic Acids; Precision Medicine; Proteins; biological marker; nucleic acid; protein; algorithm; artificial intelligence; data base; drug development; drug research; drug response; drug therapy; human; machine learning; machine learning software; personalized medicine; prediction; review; animal; machine learning; metabolism; personalized medicine; procedures","Review","Final","","Scopus","2-s2.0-105003412700"

﻿"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Saleem N.; Kumar N.; El-Omar E.; Willcox M.; Jiang X.-T.","Saleem, Naveed (57223905222); Kumar, Naresh (16833488100); El-Omar, Emad (7004327210); Willcox, Mark (7102860329); Jiang, Xiao-Tao (56403627100)","57223905222; 16833488100; 7004327210; 7102860329; 56403627100","Harnessing Machine Learning Approaches for the Identification, Characterization, and Optimization of Novel Antimicrobial Peptides","2025","Antibiotics","14","12","1263","","","","2","10.3390/antibiotics14121263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026018756&doi=10.3390%2fantibiotics14121263&partnerID=40&md5=8584217840f6e341bcadce96a9afa369","Antimicrobial resistance (AMR) has become a major health crisis worldwide, and it is expected to surpass cancer as one of the leading causes of death by 2050. Conventional antibiotics are struggling to keep pace with the rapidly evolving resistance trends, underscoring the urgent need for novel antimicrobial therapeutic strategies. Antimicrobial peptides (AMPs) function through diverse, often membrane-disrupting mechanisms that can address the latest challenges to resistance. However, the identification, prediction, and optimization of novel AMPs can be impeded by several issues, including extensive sequence spaces, context-dependent activity, and the higher costs associated with wet laboratory screenings. Recent developments in artificial intelligence (AI) have enabled large-scale mining of genomes, metagenomes, and quantitative species-resolved activity prediction, i.e., MIC, and de novo AMPs designed with integrated stability and toxicity filters. The current review has synthesized and highlighted progress across different discriminative models, such as classical machine learning and deep learning models and transformer embeddings, alongside graphs and geometric encoders, structure-guided and multi-modal hybrid learning approaches, closed-loop generative methods, and large language models (LLMs) predicted frameworks. This review compares models’ benchmark performances, highlighting AI-predicted novel hybrid approaches for designing AMPs, validated by in vitro and in vivo methods against clinical and resistant pathogens to increase overall experimental hit rates. Based on observations, multimodal paradigm strategies are proposed, focusing on identification, prediction, and characterization, followed by design frameworks, linking active-learning lab cycles, mechanistic interpretability, curated data resources, and uncertainty estimation. Therefore, for reproducible benchmarks and interoperable data, collaborative computational and wet lab experimental validations must be required to accelerate AI-driven novel AMP discovery to combat multidrug-resistant Gram-negative pathogens. © 2025 by the authors.","antimicrobial peptides (AMPs); artificial intelligence (AI); databases; deep learning (DL); language models (LMs); machine learning (ML); multi-drug resistance (MDR)","antibiotic agent; antiinfective agent; polypeptide antibiotic agent; antibiotic resistance; antimicrobial activity; artificial intelligence; benchmarking; blended learning; data base; deep learning; drug analysis; drug development; human; in vitro study; language model; large language model; learning; machine learning; metagenome; minimum inhibitory concentration; multidrug resistance; nonhuman; prediction; review; therapy","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105026018756"

﻿"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Choudhury P.; Mishra S.; Yadav S.; Singh S.; Mathur P.","Choudhury, Priyanka Ray (57191596553); Mishra, Sai Kumar (59240588400); Yadav, Siddharth (57215382861); Singh, Shubhi (60141221200); Mathur, Puniti (7201846561)","57191596553; 59240588400; 57215382861; 60141221200; 7201846561","In Silico Peptide Design: Methods, Resources, and Role of AI","2025","Journal of Peptide Science","31","12","e70063","","","","2","10.1002/psc.70063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020178056&doi=10.1002%2fpsc.70063&partnerID=40&md5=603f56bd70023aafa3b9babe134a8f03","Peptides play essential roles in biological systems and serve as key agents in therapeutics, biomaterials, and drug delivery. Despite their broad utility, peptide design is limited by rapid degradation, low oral bioavailability, and the inefficiency of conventional synthesis and screening methods. This review provides a comprehensive overview of computational approaches that have emerged as effective alternatives, enabling the exploration of a large chemical space and the virtual screening of thousands of peptides. We detail the critical role of specialized peptide databases, computational tools, and advanced methodologies, including structure-based design, molecular dynamics (MD) simulations, and ligand-based approaches. A particular focus is placed on the transformative impact of machine learning (ML), deep learning (DL), and generative AI models, which are accelerating the discovery of novel peptides. While these methods offer promising solutions, we also address key challenges like data inconsistency, model interpretability, and the need for better forcefields. By highlighting these advancements and limitations, this review aims to provide a roadmap for leveraging computational design in peptide research. © 2025 European Peptide Society and John Wiley & Sons Ltd.","AlphaFold; computational peptide design; generative models; MD simulations; peptide docking; peptide prediction","Computer Simulation; Deep Learning; Drug Design; Humans; Machine Learning; Molecular Dynamics Simulation; Peptides; biomaterial; peptide; bioavailability; computer model; data base; deep learning; drug analysis; drug delivery system; drug development; generative artificial intelligence; generative model; human; machine learning; molecular dynamics; prediction; review; simulation; synthesis; chemistry; computer simulation; drug design","Review","Final","","Scopus","2-s2.0-105020178056"

﻿"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Fleming J.; Magana P.; Nair S.; Tsenkov M.; Bertoni D.; Pidruchna I.; Lima Afonso M.Q.; Midlik A.; Paramval U.; Žídek A.; Laydon A.; Kovalevskiy O.; Pan J.; Cheng J.; Avsec; Bycroft C.; Wong L.H.; Last M.; Mirdita M.; Steinegger M.; Kohli P.; Váradi M.; Velankar S.","Fleming, Jennifer (57197553150); Magana, Paulyna (58799547100); Nair, Sreenath (57216243155); Tsenkov, Maxim (57211580067); Bertoni, Damian (57909967400); Pidruchna, Ivanna (58340431800); Lima Afonso, Marcelo Querino (57192984576); Midlik, Adam (55991825200); Paramval, Urmila (58799424300); Žídek, Augustin (57204800548); Laydon, Agata (57226253120); Kovalevskiy, Oleg (15750907300); Pan, Joshua (57202087597); Cheng, Jun (57196118618); Avsec, Žiga (57192835030); Bycroft, Clare (57204146847); Wong, Lai Hong (56719039200); Last, Meera (59473876300); Mirdita, Milot (55821735900); Steinegger, Martin (55820768400); Kohli, Pushmeet (14035707300); Váradi, Mihály (57213857397); Velankar, Sameer (12789098300)","57197553150; 58799547100; 57216243155; 57211580067; 57909967400; 58340431800; 57192984576; 55991825200; 58799424300; 57204800548; 57226253120; 15750907300; 57202087597; 57196118618; 57192835030; 57204146847; 56719039200; 59473876300; 55821735900; 55820768400; 14035707300; 57213857397; 12789098300","AlphaFold Protein Structure Database and 3D-Beacons: New Data and Capabilities","2025","Journal of Molecular Biology","437","15","168967","","","","83","10.1016/j.jmb.2025.168967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217937068&doi=10.1016%2fj.jmb.2025.168967&partnerID=40&md5=4c24e9ef475f53475a3f4224dbe5af23","The AlphaFold Protein Structure Database (https://alphafold.ebi.ac.uk/) has made significant strides in enhancing its utility and accessibility for the life science research community. The recent integration of AlphaMissense predictions enables access to the pathogenicity of human protein missense variants, with an innovative and interactive heatmap and 3D visualisation that display variant data at the residue level. Users can now toggle between structure model quality (pLDDT) and average pathogenicity scores, providing insights into the implications of specific residue changes. The Foldseek integration offers a rapid and accurate method for protein structure searches and comparisons. Bulk data download options further facilitate comprehensive data analysis and integration with other computational tools. The 3D-Beacons framework (https://www.ebi.ac.uk/pdbe/pdbe-kb/3dbeacons/) has also been enhanced with detailed annotation endpoints (such as AlphaMissense data) and integrates LevyLab's dataset of homomeric AlphaFold 2 models. These advancements significantly improve the functionality and accessibility of these resources, enabling discoveries using structure data. © 2025 The Author(s)","AlphaFold; Alphamissense; Annotations; Foldseek; Training","Computational Biology; Databases, Protein; Humans; Models, Molecular; Protein Conformation; Protein Folding; Proteins; Software; protein; 3D beacon; AlphaFold protein structure database; Article; conceptual framework; CRISPR Cas system; data analysis; data base; DNA repair; electron microscopy; gene editing; human; pathogenicity; prediction; protein function; protein structure; bioinformatics; chemistry; genetics; molecular model; procedures; protein conformation; protein database; protein folding; software","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85217937068"
